<class 'ANNOP.ANNOP'>,111981370104,ga_eval,0,0.1787941787941788,0.14937759336099585,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,-0.002634389244995084,-2.968391891541963,30814.654164899395,0.0009951425671879855,1.986795235821844e+17
<class 'ANNOP.ANNOP'>,111981369096,ga_eval,0,0.17567567567567569,0.17842323651452283,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,-0.0035862084511964105,-3.0197361271389958,30820.61061394785,0.0004269268222570638,1.9846461401259645e+17
<class 'ANNOP.ANNOP'>,111981369672,ga_eval,0,0.17151767151767153,0.1991701244813278,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.003266703356567955,-2.7116707135567975,30823.543369761654,0.0005670459052835512,1.9846123772425146e+17
<class 'ANNOP.ANNOP'>,111981369240,ga_eval,0,0.17671517671517672,0.16597510373443983,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.0037853959612109828,-3.295836866004329,30824.697905481018,0.000494925291023164,1.9872066397923702e+17
<class 'ANNOP.ANNOP'>,111981370536,ga_eval,0,0.15280665280665282,0.17842323651452283,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.0006763847912913297,-3.0197361271389958,30817.939716987574,0.000642186552949387,1.9860762674298166e+17
<class 'ANNOP.ANNOP'>,111981370104,ga_eval,1,0.19126819126819128,0.16182572614107885,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,-0.0048491467658255925,-1.7220598267786555,31315.583287077687,0.000832975085333953,2.0144766716589114e+17
<class 'ANNOP.ANNOP'>,111981369096,ga_eval,1,0.17567567567567569,0.17842323651452283,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.006991304820535886,-2.140089674945963,27858.712105316412,0.00028926132396466637,2.0515280055942573e+17
<class 'ANNOP.ANNOP'>,111981369672,ga_eval,1,0.21413721413721415,0.27385892116182575,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.003190592111886152,-2.0887454393489295,28196.53628283463,0.0007366695756268762,2.045249504206e+17
<class 'ANNOP.ANNOP'>,111981369240,ga_eval,1,0.20893970893970895,0.17842323651452283,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,-0.001299472532062279,-2.3209595402285963,25958.30741420287,0.0006814408301694404,2.0657162062807206e+17
<class 'ANNOP.ANNOP'>,111981370536,ga_eval,1,0.1683991683991684,0.17427385892116182,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.0029299276669436936,-2.846323859467728,22119.61139956401,0.0006775957519600571,2.10806090740602e+17
<class 'ANNOP.ANNOP'>,111981369096,ga_eval,2,0.17567567567567569,0.17842323651452283,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.0015307920276029577,-1.887448981777507,24903.911590096584,0.0005823615690879406,2.157230038263204e+17
<class 'ANNOP.ANNOP'>,111981370104,ga_eval,2,0.19126819126819128,0.16182572614107885,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,-0.0028643735098013504,-1.6014770913022407,31555.294493713936,0.0005721562574273274,2.021599229781867e+17
<class 'ANNOP.ANNOP'>,111981369240,ga_eval,2,0.20893970893970895,0.17842323651452283,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.002938987808931863,-2.0095170138517413,24455.97365043036,0.0006140580664809036,2.1647241894577338e+17
<class 'ANNOP.ANNOP'>,111981369672,ga_eval,2,0.21725571725571727,0.22406639004149378,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.028856929504776054,-2.2376506299146985,23824.841729085565,0.000923736170817572,2.1457821602615366e+17
<class 'ANNOP.ANNOP'>,111981370536,ga_eval,2,0.19542619542619544,0.1950207468879668,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.009108467207352512,-1.5346433540734918,29728.87467283219,0.0008419520653648274,2.063374025524149e+17
<class 'ANNOP.ANNOP'>,111981369096,ga_eval,3,0.1995841995841996,0.1950207468879668,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.006451193423031992,-1.2238242510353523,31111.1464515432,0.0006600850995541545,2.1453082418468435e+17
<class 'ANNOP.ANNOP'>,111981369240,ga_eval,3,0.20893970893970895,0.17842323651452283,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.005034120420410106,-1.75402450149552,23882.14101518898,0.0007714599910345952,2.2397208974203597e+17
<class 'ANNOP.ANNOP'>,111981370104,ga_eval,3,0.19126819126819128,0.16182572614107885,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.009582775484486467,-2.227629274190668,21388.14558926945,0.00044103570410942885,2.1626956562094672e+17
<class 'ANNOP.ANNOP'>,111981370536,ga_eval,3,0.19542619542619544,0.1950207468879668,27,tournament_selection,one_point_crossover,1,ball_mutation,None,None,0.5,0.007156135092400193,-1.9935145657662299,24634.831856969864,0.0014667664995507632,2.1354789034183683e+17
